iter	Passed	Remaining
0	29	29631
1	55	27471
2	66	22016
3	97	24164
4	120	24029
5	146	24265
6	163	23228
7	180	22403
8	197	21799
9	214	21262
10	231	20839
11	249	20512
12	267	20295
13	293	20702
14	312	20509
15	329	20266
16	346	20021
17	363	19851
18	380	19650
19	397	19478
20	414	19336
21	430	19159
22	448	19042
23	466	18966
24	483	18846
25	500	18744
26	518	18686
27	535	18584
28	552	18499
29	569	18411
30	585	18308
31	604	18298
32	621	18216
33	638	18153
34	655	18070
35	672	18010
36	689	17939
37	707	17906
38	724	17851
39	741	17795
40	758	17751
41	776	17712
42	793	17658
43	811	17635
44	831	17645
45	853	17694
46	874	17722
47	895	17753
48	911	17696
49	928	17636
50	945	17590
51	961	17537
52	980	17524
53	999	17514
54	1001	17213
55	1022	17231
56	1041	17227
57	1060	17229
58	1080	17236
59	1101	17255
60	1120	17254
61	1140	17257
62	1159	17248
63	1178	17240
64	1199	17259
65	1218	17248
66	1237	17236
67	1257	17232
68	1277	17239
69	1296	17227
70	1314	17203
71	1332	17178
72	1352	17170
73	1373	17192
74	1397	17230
75	1417	17232
76	1437	17235
77	1458	17243
78	1480	17256
79	1499	17248
80	1522	17273
81	1541	17257
82	1559	17234
83	1580	17236
84	1604	17272
85	1607	17081
86	1626	17073
87	1646	17061
88	1666	17060
89	1685	17041
90	1704	17027
91	1724	17019
92	1743	17002
93	1762	16986
94	1780	16966
95	1799	16948
96	1818	16931
97	1838	16920
98	1857	16901
99	1877	16897
100	1896	16884
101	1916	16869
102	1934	16848
103	1953	16828
104	1972	16811
105	1993	16817
106	2013	16803
107	2032	16785
108	2054	16793
109	2073	16780
110	2093	16769
111	2112	16752
112	2131	16733
113	2150	16712
114	2169	16693
115	2188	16674
116	2206	16652
117	2225	16633
118	2244	16615
119	2263	16596
120	2285	16601
121	2305	16594
122	2324	16575
123	2343	16556
124	2364	16550
125	2386	16551
126	2405	16533
127	2424	16519
128	2445	16511
129	2466	16505
130	2488	16507
131	2508	16492
132	2528	16481
133	2548	16471
134	2568	16457
135	2593	16473
136	2611	16452
137	2630	16431
138	2649	16411
139	2668	16394
140	2687	16372
141	2707	16359
142	2727	16345
143	2746	16327
144	2764	16303
145	2784	16287
146	2804	16273
147	2824	16257
148	2844	16244
149	2863	16223
150	2884	16218
151	2904	16203
152	2923	16186
153	2943	16167
154	2962	16153
155	2983	16139
156	3001	16117
157	3021	16102
158	3041	16087
159	3063	16082
160	3082	16064
161	3102	16051
162	3122	16034
163	3141	16016
164	3160	15996
165	3180	15977
166	3202	15974
167	3222	15957
168	3240	15934
169	3260	15917
170	3278	15896
171	3298	15880
172	3318	15861
173	3337	15842
174	3356	15821
175	3375	15803
176	3394	15783
177	3413	15764
178	3433	15750
179	3454	15736
180	3474	15720
181	3495	15710
182	3514	15691
183	3535	15677
184	3555	15661
185	3575	15647
186	3598	15642
187	3617	15624
188	3636	15604
189	3656	15586
190	3674	15563
191	3693	15542
192	3712	15524
193	3731	15504
194	3751	15487
195	3771	15469
196	3790	15450
197	3808	15425
198	3831	15421
199	3850	15401
200	3869	15383
201	3889	15363
202	3909	15350
203	3929	15332
204	3948	15311
205	3968	15295
206	3988	15279
207	4007	15257
208	4027	15241
209	4045	15219
210	4065	15201
211	4084	15182
212	4109	15182
213	4128	15164
214	4147	15142
215	4166	15122
216	4185	15102
217	4204	15083
218	4223	15063
219	4244	15047
220	4264	15030
221	4283	15010
222	4303	14993
223	4323	14976
224	4342	14957
225	4362	14938
226	4380	14917
227	4400	14899
228	4420	14881
229	4439	14862
230	4458	14841
231	4477	14822
232	4496	14801
233	4515	14782
234	4534	14761
235	4554	14743
236	4577	14735
237	4597	14720
238	4619	14708
239	4639	14693
240	4658	14672
241	4676	14649
242	4696	14629
243	4715	14608
244	4734	14589
245	4752	14565
246	4771	14545
247	4789	14524
248	4810	14509
249	4830	14492
250	4850	14474
251	4870	14457
252	4889	14437
253	4908	14416
254	4927	14396
255	4947	14377
256	4966	14359
257	4987	14342
258	5006	14322
259	5027	14307
260	5047	14291
261	5066	14272
262	5087	14255
263	5105	14234
264	5125	14216
265	5144	14194
266	5163	14174
267	5182	14156
268	5202	14137
269	5223	14123
270	5245	14110
271	5263	14088
272	5283	14068
273	5303	14051
274	5323	14034
275	5342	14014
276	5362	13996
277	5385	13987
278	5404	13966
279	5423	13946
280	5443	13928
281	5462	13907
282	5481	13887
283	5500	13868
284	5520	13850
285	5540	13831
286	5560	13815
287	5583	13802
288	5603	13786
289	5623	13767
290	5642	13748
291	5662	13729
292	5682	13711
293	5702	13693
294	5720	13671
295	5739	13651
296	5759	13632
297	5778	13611
298	5797	13591
299	5817	13573
300	5835	13551
301	5854	13530
302	5873	13510
303	5893	13491
304	5912	13472
305	5931	13453
306	5951	13434
307	5970	13414
308	5991	13398
309	6010	13378
310	6030	13359
311	6050	13341
312	6070	13323
313	6089	13302
314	6108	13283
315	6127	13263
316	6150	13251
317	6170	13232
318	6189	13213
319	6209	13195
320	6228	13175
321	6247	13155
322	6267	13136
323	6287	13118
324	6307	13100
325	6326	13080
326	6345	13060
327	6365	13041
328	6386	13025
329	6405	13005
330	6424	12984
331	6444	12966
332	6463	12945
333	6483	12927
334	6502	12907
335	6521	12887
336	6541	12868
337	6565	12858
338	6585	12840
339	6604	12820
340	6623	12800
341	6642	12780
342	6662	12761
343	6682	12742
344	6701	12723
345	6720	12703
346	6740	12684
347	6761	12667
348	6780	12647
349	6799	12626
350	6818	12607
351	6838	12588
352	6858	12571
353	6878	12551
354	6897	12532
355	6923	12525
356	6942	12504
357	6960	12482
358	6981	12466
359	7001	12447
360	7021	12427
361	7040	12409
362	7060	12390
363	7080	12371
364	7101	12354
365	7121	12336
366	7143	12320
367	7164	12303
368	7184	12284
369	7203	12266
370	7224	12248
371	7245	12231
372	7265	12212
373	7284	12192
374	7303	12172
375	7323	12153
376	7342	12134
